"","month","avg_mortgage_rate","avg_home_price","assumed_monthly_rent","monthly_mortgage_payment","monthly_fixed_expense","monthly_cost_of_owning","ownership_vs_renting_difference","ownership_vs_renting_status"
"118",Oct 1996,7.964,83629,557.526666666667,550.388246758365,118.474416666667,668.862663425032,-111.335996758365,"Rent"
"119",Nov 1996,7.618,83556,557.04,531.901652950278,118.371,650.272652950278,-93.2326529502778,"Rent"
"120",Dec 1996,7.582,83490,556.6,529.622342262811,118.2775,647.899842262811,-91.2998422628111,"Rent"
"121",Jan 1997,7.79333333333333,83530,556.866666666667,540.83013721404,118.334166666667,659.164303880707,-102.29763721404,"Rent"
"122",Feb 1997,7.696,83597,557.313333333333,536.204407095114,118.429083333333,654.633490428447,-97.3201570951137,"Rent"
"123",Mar 1997,7.848,83911,559.406666666667,546.157052328715,118.873916666667,665.030968995382,-105.624302328715,"Rent"
"124",Apr 1997,8.108,84321,562.14,562.570008270005,119.45475,682.024758270005,-119.884758270005,"Rent"
"125",May 1997,7.96666666666667,84864,565.76,558.657978101062,120.224,678.881978101062,-113.121978101062,"Rent"
"126",Jun 1997,7.74,85398,569.32,550.090535307919,120.9805,671.071035307919,-101.751035307919,"Rent"
"127",Jul 1997,7.514,85841,572.273333333333,540.932272384593,121.608083333333,662.540355717927,-90.2670223845931,"Rent"
"128",Aug 1997,7.48,86150,574.333333333333,541.074520106992,122.045833333333,663.120353440325,-88.787020106992,"Rent"
"129",Sep 1997,7.46,86311,575.406666666667,541.023060439194,122.273916666667,663.29697710586,-87.8903104391936,"Rent"
"130",Oct 1997,7.29166666666667,86408,576.053333333333,532.7089739219,122.411333333333,655.120307255234,-79.0669739219005,"Rent"
"131",Nov 1997,7.206,86632,577.546666666667,529.559746212601,122.728666666667,652.288412879267,-74.7417462126007,"Rent"
"132",Dec 1997,7.11,86848,578.986666666667,525.808836708313,123.034666666667,648.843503374979,-69.8568367083127,"Rent"
"133",Jan 1998,6.99333333333333,87163,581.086666666667,521.556669484127,123.480916666667,645.037586150794,-63.9509194841269,"Rent"
"134",Feb 1998,7.058,87373,582.486666666667,526.231916042242,123.778416666667,650.010332708908,-67.5236660422419,"Rent"
"135",Mar 1998,7.12,87877,585.846666666667,532.572380031466,124.492416666667,657.064796698132,-71.2181300314655,"Rent"
"136",Apr 1998,7.128,88558,590.386666666667,537.129881759297,125.457166666667,662.587048425963,-72.2003817592966,"Rent"
